ccode,country,year,age,gender,status,urban,population,education,sector,sector_group,informal
BEN,Benin,2015,33,female,unemployed,rural,217.0,,,,
BEN,Benin,2015,33,male,employed,urban,26946.0,,,,
BEN,Benin,2015,33,male,employed,rural,31084.0,,,,
BEN,Benin,2015,33,male,unemployed,rural,161.0,,,,
BEN,Benin,2015,33,male,unemployed,urban,624.0,,,,
BEN,Benin,2015,34,female,employed,rural,25674.0,,,,
BEN,Benin,2015,34,female,employed,urban,19327.0,,,,
BEN,Benin,2015,34,female,unemployed,urban,476.0,,,,
BEN,Benin,2015,34,female,unemployed,rural,207.0,,,,
BEN,Benin,2015,34,male,employed,urban,25683.0,,,,
BEN,Benin,2015,34,male,employed,rural,29627.0,,,,
BEN,Benin,2015,34,male,unemployed,urban,595.0,,,,
BEN,Benin,2015,34,male,unemployed,rural,153.0,,,,
BEN,Benin,2015,35,female,employed,urban,19015.0,,,,
BEN,Benin,2015,35,female,employed,rural,25260.0,,,,
BEN,Benin,2015,35,female,unemployed,rural,204.0,,,,
BEN,Benin,2015,35,female,unemployed,urban,468.0,,,,
BEN,Benin,2015,35,male,employed,urban,24841.0,,,,
BEN,Benin,2015,35,male,employed,rural,28656.0,,,,
BEN,Benin,2015,35,male,unemployed,rural,148.0,,,,
BEN,Benin,2015,35,male,unemployed,urban,576.0,,,,
BEN,Benin,2016,15,female,employed,rural,15507.0,,,,
BEN,Benin,2016,15,female,employed,urban,11756.0,,,,
BEN,Benin,2016,15,female,unemployed,rural,494.0,,,,
BEN,Benin,2016,15,female,unemployed,urban,919.0,,,,
BEN,Benin,2016,15,male,employed,urban,11628.0,,,,
BEN,Benin,2016,15,male,employed,rural,13503.0,,,,
BEN,Benin,2016,15,male,unemployed,rural,326.0,,,,
BEN,Benin,2016,15,male,unemployed,urban,656.0,,,,
BEN,Benin,2016,16,female,employed,rural,22445.0,,,,
BEN,Benin,2016,16,female,employed,urban,17015.0,,,,
BEN,Benin,2016,16,female,unemployed,rural,715.0,,,,
BEN,Benin,2016,16,female,unemployed,urban,1330.0,,,,
BEN,Benin,2016,16,male,employed,urban,16995.0,,,,
BEN,Benin,2016,16,male,employed,rural,19735.0,,,,
BEN,Benin,2016,16,male,unemployed,urban,958.0,,,,
BEN,Benin,2016,16,male,unemployed,rural,477.0,,,,
BEN,Benin,2016,17,female,employed,urban,20573.0,,,,
BEN,Benin,2016,17,female,employed,rural,27138.0,,,,
BEN,Benin,2016,17,female,unemployed,rural,864.0,,,,
BEN,Benin,2016,17,female,unemployed,urban,1609.0,,,,
BEN,Benin,2016,17,male,employed,urban,20424.0,,,,
BEN,Benin,2016,17,male,employed,rural,23717.0,,,,
BEN,Benin,2016,17,male,unemployed,urban,1151.0,,,,
BEN,Benin,2016,17,male,unemployed,rural,573.0,,,,
BEN,Benin,2016,18,female,employed,urban,20883.0,,,,
BEN,Benin,2016,18,female,employed,rural,27545.0,,,,
BEN,Benin,2016,18,female,unemployed,rural,878.0,,,,
BEN,Benin,2016,18,female,unemployed,urban,1632.0,,,,
BEN,Benin,2016,18,male,employed,rural,23717.0,,,,
BEN,Benin,2016,18,male,employed,urban,20424.0,,,,
BEN,Benin,2016,18,male,unemployed,urban,1151.0,,,,
BEN,Benin,2016,18,male,unemployed,rural,573.0,,,,
BEN,Benin,2016,19,female,employed,urban,18871.0,,,,
BEN,Benin,2016,19,female,employed,rural,24894.0,,,,
BEN,Benin,2016,19,female,unemployed,rural,793.0,,,,
BEN,Benin,2016,19,female,unemployed,urban,1475.0,,,,
BEN,Benin,2016,19,male,employed,rural,21466.0,,,,
BEN,Benin,2016,19,male,employed,urban,18486.0,,,,
BEN,Benin,2016,19,male,unemployed,urban,1042.0,,,,
BEN,Benin,2016,19,male,unemployed,rural,518.0,,,,
BEN,Benin,2016,20,female,employed,urban,17634.0,,,,
BEN,Benin,2016,20,female,employed,rural,23261.0,,,,
BEN,Benin,2016,20,female,unemployed,urban,1378.0,,,,
BEN,Benin,2016,20,female,unemployed,rural,741.0,,,,
BEN,Benin,2016,20,male,employed,urban,17293.0,,,,
BEN,Benin,2016,20,male,employed,rural,20082.0,,,,
BEN,Benin,2016,20,male,unemployed,rural,485.0,,,,
BEN,Benin,2016,20,male,unemployed,urban,975.0,,,,
BEN,Benin,2016,21,female,employed,rural,21016.0,,,,
BEN,Benin,2016,21,female,employed,urban,15933.0,,,,
BEN,Benin,2016,21,female,unemployed,urban,1246.0,,,,
BEN,Benin,2016,21,female,unemployed,rural,669.0,,,,
BEN,Benin,2016,21,male,employed,rural,18178.0,,,,
BEN,Benin,2016,21,male,employed,urban,15653.0,,,,
BEN,Benin,2016,21,male,unemployed,rural,439.0,,,,
BEN,Benin,2016,21,male,unemployed,urban,882.0,,,,
BEN,Benin,2016,22,female,employed,urban,14695.0,,,,
BEN,Benin,2016,22,female,employed,rural,19384.0,,,,
BEN,Benin,2016,22,female,unemployed,rural,617.0,,,,
BEN,Benin,2016,22,female,unemployed,urban,1149.0,,,,
BEN,Benin,2016,22,male,employed,rural,16446.0,,,,
BEN,Benin,2016,22,male,employed,urban,14163.0,,,,
BEN,Benin,2016,22,male,unemployed,urban,798.0,,,,
BEN,Benin,2016,22,male,unemployed,rural,398.0,,,,
BEN,Benin,2016,23,female,employed,rural,18568.0,,,,
BEN,Benin,2016,23,female,employed,urban,14076.0,,,,
BEN,Benin,2016,23,female,unemployed,urban,1100.0,,,,
BEN,Benin,2016,23,female,unemployed,rural,592.0,,,,
BEN,Benin,2016,23,male,employed,urban,13566.0,,,,
BEN,Benin,2016,23,male,employed,rural,15754.0,,,,
BEN,Benin,2016,23,male,unemployed,urban,765.0,,,,
BEN,Benin,2016,23,male,unemployed,rural,380.0,,,,
BEN,Benin,2016,24,female,employed,urban,14386.0,,,,
BEN,Benin,2016,24,female,employed,rural,18976.0,,,,
BEN,Benin,2016,24,female,unemployed,rural,605.0,,,,
BEN,Benin,2016,24,female,unemployed,urban,1124.0,,,,
BEN,Benin,2016,24,male,employed,urban,13566.0,,,,
BEN,Benin,2016,24,male,employed,rural,15754.0,,,,
BEN,Benin,2016,24,male,unemployed,urban,765.0,,,,
BEN,Benin,2016,24,male,unemployed,rural,380.0,,,,
BEN,Benin,2016,25,female,employed,rural,36046.0,,,,
BEN,Benin,2016,25,female,employed,urban,27588.0,,,,
BEN,Benin,2016,25,female,unemployed,rural,267.0,,,,
BEN,Benin,2016,25,female,unemployed,urban,597.0,,,,
BEN,Benin,2016,25,male,employed,rural,43083.0,,,,
BEN,Benin,2016,25,male,employed,urban,37997.0,,,,
BEN,Benin,2016,25,male,unemployed,urban,769.0,,,,
BEN,Benin,2016,25,male,unemployed,rural,201.0,,,,
BEN,Benin,2016,26,female,employed,rural,34845.0,,,,
BEN,Benin,2016,26,female,employed,urban,26668.0,,,,
BEN,Benin,2016,26,female,unemployed,rural,258.0,,,,
BEN,Benin,2016,26,female,unemployed,urban,577.0,,,,
BEN,Benin,2016,26,male,employed,rural,41648.0,,,,
BEN,Benin,2016,26,male,employed,urban,36730.0,,,,
BEN,Benin,2016,26,male,unemployed,rural,194.0,,,,
BEN,Benin,2016,26,male,unemployed,urban,744.0,,,,
BEN,Benin,2016,27,female,employed,rural,32843.0,,,,
BEN,Benin,2016,27,female,employed,urban,25135.0,,,,
BEN,Benin,2016,27,female,unemployed,rural,243.0,,,,
BEN,Benin,2016,27,female,unemployed,urban,544.0,,,,
BEN,Benin,2016,27,male,employed,urban,35041.0,,,,
BEN,Benin,2016,27,male,employed,rural,39733.0,,,,
BEN,Benin,2016,27,male,unemployed,rural,185.0,,,,
BEN,Benin,2016,27,male,unemployed,urban,709.0,,,,
BEN,Benin,2016,28,female,employed,urban,24522.0,,,,
BEN,Benin,2016,28,female,employed,rural,32042.0,,,,
BEN,Benin,2016,28,female,unemployed,rural,237.0,,,,
BEN,Benin,2016,28,female,unemployed,urban,531.0,,,,
BEN,Benin,2016,28,male,employed,urban,33775.0,,,,
BEN,Benin,2016,28,male,employed,rural,38297.0,,,,
BEN,Benin,2016,28,male,unemployed,urban,684.0,,,,
BEN,Benin,2016,28,male,unemployed,rural,178.0,,,,
BEN,Benin,2016,29,female,employed,rural,31241.0,,,,
BEN,Benin,2016,29,female,employed,urban,23909.0,,,,
BEN,Benin,2016,29,female,unemployed,urban,518.0,,,,
BEN,Benin,2016,29,female,unemployed,rural,231.0,,,,
BEN,Benin,2016,29,male,employed,rural,36861.0,,,,
BEN,Benin,2016,29,male,employed,urban,32508.0,,,,
BEN,Benin,2016,29,male,unemployed,rural,171.0,,,,
BEN,Benin,2016,29,male,unemployed,urban,659.0,,,,
